fid,id,left,top,right,bottom,row_index,col_index,temperature,ghi
11223,16124,-9.52695943768109,62.5,-7.79490863011221,61,19,132,7,2
11224,16125,-9.52695943768109,61,-7.79490863011221,59.5,20,132,9,2
11222,16123,-9.52695943768109,64,-7.79490863011221,62.5,18,132,6,2
11308,16245,-8.22792133200443,63.25,-6.49587052443555,61.75,18,133,7,2
11309,16246,-8.22792133200443,61.75,-6.49587052443555,60.25,19,133,9,2
12922,18563,16.4538026758521,64,18.185853483421,62.5,18,152,3,0
12924,18565,16.4538026758521,61,18.185853483421,59.5,20,152,7,0
12923,18564,16.4538026758521,62.5,18.185853483421,61,19,152,6,0
13009,18686,17.7528407815287,61.75,19.4848915890976,60.25,19,153,7,0
13008,18685,17.7528407815287,63.25,19.4848915890976,61.75,18,153,6,0
13007,18684,17.7528407815287,64.75,19.4848915890976,63.25,17,153,3,0
13006,18683,17.7528407815287,66.25,19.4848915890976,64.75,16,153,3,0
13091,18806,19.0518788872054,65.5,20.7839296947743,64,17,154,4,0
13092,18807,19.0518788872054,64,20.7839296947743,62.5,18,154,4,0
13093,18808,19.0518788872054,62.5,20.7839296947743,61,19,154,6,0
13094,18809,19.0518788872054,61,20.7839296947743,59.5,20,154,7,0
13179,18930,20.350916992882,61.75,22.0829678004509,60.25,19,155,6,0
13176,18927,20.350916992882,66.25,22.0829678004509,64.75,16,155,4,0
13177,18928,20.350916992882,64.75,22.0829678004509,63.25,17,155,4,0
13178,18929,20.350916992882,63.25,22.0829678004509,61.75,18,155,5,0
13262,19051,21.6499550985587,64,23.3820059061276,62.5,18,156,4,0
13261,19050,21.6499550985587,65.5,23.3820059061276,64,17,156,4,0
13347,19172,22.9489932042354,64.75,24.6810440118042,63.25,17,157,4,0
13179,18930,20.350916992882,61.75,22.0829678004509,60.25,19,155,6,2
13178,18929,20.350916992882,63.25,22.0829678004509,61.75,18,155,5,2
13262,19051,21.6499550985587,64,23.3820059061276,62.5,18,156,4,2
13264,19053,21.6499550985587,61,23.3820059061276,59.5,20,156,6,2
13263,19052,21.6499550985587,62.5,23.3820059061276,61,19,156,5,2
13261,19050,21.6499550985587,65.5,23.3820059061276,64,17,156,4,2
13346,19171,22.9489932042354,66.25,24.6810440118042,64.75,16,157,4,2
13349,19174,22.9489932042354,61.75,24.6810440118042,60.25,19,157,6,2
13348,19173,22.9489932042354,63.25,24.6810440118042,61.75,18,157,5,2
13347,19172,22.9489932042354,64.75,24.6810440118042,63.25,17,157,4,2
13434,19297,24.248031309912,61,25.9800821174809,59.5,20,158,6,2
13432,19295,24.248031309912,64,25.9800821174809,62.5,18,158,3,2
13431,19294,24.248031309912,65.5,25.9800821174809,64,17,158,3,2
13433,19296,24.248031309912,62.5,25.9800821174809,61,19,158,4,2
13519,19418,25.5470694155887,61.75,27.2791202231576,60.25,19,159,4,2
13517,19416,25.5470694155887,64.75,27.2791202231576,63.25,17,159,3,2
13518,19417,25.5470694155887,63.25,27.2791202231576,61.75,18,159,4,2
13516,19415,25.5470694155887,66.25,27.2791202231576,64.75,16,159,3,2
13603,19540,26.8461075212653,62.5,28.5781583288342,61,19,160,4,2
13601,19538,26.8461075212653,65.5,28.5781583288342,64,17,160,3,2
13604,19541,26.8461075212653,61,28.5781583288342,59.5,20,160,5,2
13602,19539,26.8461075212653,64,28.5781583288342,62.5,18,160,3,2
13686,19659,28.145145626942,66.25,29.8771964345109,64.75,16,161,2,2
13687,19660,28.145145626942,64.75,29.8771964345109,63.25,17,161,2,2
13688,19661,28.145145626942,63.25,29.8771964345109,61.75,18,161,4,2
13689,19662,28.145145626942,61.75,29.8771964345109,60.25,19,161,5,2
13771,19782,29.4441837326187,65.5,31.1762345401876,64,17,162,2,2
13772,19783,29.4441837326187,64,31.1762345401876,62.5,18,162,2,2
13773,19784,29.4441837326187,62.5,31.1762345401876,61,19,162,4,2
13774,19785,29.4441837326187,61,31.1762345401876,59.5,20,162,5,2
13859,19906,30.7432218382953,61.75,32.4752726458642,60.25,19,163,4,2
